phrase,score
talk page learn,2.098169765
templat messag learn,1.833849472
find link tool,1.799727502
java program languag,1.630536601
java virtual machin,1.397471077
sourc remain unclear,1.204163011
templat messag,1.182837403
open sourc project,1.172452688
trivial mention,1.104402955
signific coverag,1.104402955
merg redirect,1.104402955
multipl issu,1.049976591
sun microsystem,1.047283871
java platform,1.037634146
open sourc code,1.037275806
java commun process,0.963056868
apach softwar foundat,0.953578733
open sourc implement,0.953377689
ad citat,0.923495163
borland delphi comparison,0.922456821
primari sourc,0.870889845
articl includ list,0.868474966
remov august learn,0.863992962
introduc link,0.858367934
remov decemb learn,0.85221352
remov march learn,0.849975908
run time,0.84495789
open sourc,0.842701282
sourc code,0.838159845
java languag,0.824348553
ad secondari,0.82277043
program languag,0.82018876
algol algol comparison,0.808315822
java api,0.79689474
object orient program,0.793380139
java code,0.790940824
nativ code,0.789870166
primit type,0.782106331
object orient languag,0.780256103
addit citat,0.760987913
primit data type,0.742691751
articl link,0.735230152
apach licens,0.72949233
event driven program,0.720304032
java se,0.714544743
virtual machin,0.713134462
java sourc code,0.712517312
oper system,0.709993698
web page,0.706969908
java class,0.705588285
garbag collect,0.702815968
sourc file,0.70221661
type system comparison,0.701418079
java librari,0.700690257
relat articl,0.693119351
java applic,0.685408861
java collect framework,0.685168875
world program languag,0.682155466
articl reli,0.67226254
joshua bloch,0.671281744
java implement,0.665479444
cpp algol comparison,0.664822895
claim made,0.655426181
java program,0.655154487
static import,0.64606568
visual basic net,0.645401753
origin research,0.639157164
web browser,0.638850713
jar file,0.63849973
open sourc licens,0.637234765
java,0.624323481
program written,0.624121012
java class librari,0.621000463
compil time,0.61730835
jame gosl,0.615458782
depend type comparison,0.612315601
specif type,0.61206642
static method,0.608948114
primit type variabl,0.606531879
web server,0.602931203
garbag collector,0.602426243
object orient,0.597502816
primit wrapper class,0.595921251
class,0.588498369
user interfac,0.58130217
java languag specif,0.579608115
type paramet,0.575118323
java object,0.572864647
class method,0.571091189
class librari,0.569023841
concret class,0.563919085
program,0.562748484
oracl corpor,0.559567863
multipl thread,0.554439601
web site,0.554427039
java version,0.553117631
class file,0.549695693
time jit compil,0.549092472
time compil,0.549089476
abstract method,0.547301582
jit compil,0.544950165
code,0.544750459
type safe,0.540933079
abstract class,0.54014105
instanc method,0.53980408
origin develop,0.537530199
gener type,0.53507095
char type,0.534660249
java runtim environ,0.533491579
return type,0.531668327
languag featur,0.528477471
static member,0.525642918
event dispatch thread,0.524932125
object,0.523334686
resourc bundl,0.522243301
default implement,0.521862541
super keyword,0.52177635
visual basic,0.519063048
anonym class,0.516654375
high level,0.514996456
type,0.513338147
remov septemb learn,0.512865525
static variabl,0.510149714
comput scienc,0.509968087
java bytecod,0.509313693
mac os,0.508284255
languag compat,0.508184375
platform independ,0.507838967
interfac keyword,0.507691789
command line,0.501394062
data model,0.501168146
method,0.499537439
parameter type,0.499494832
type safeti,0.495105086
latest version,0.493815338
html page,0.492212737
mobil applic,0.492198942
implement,0.491386675
match method,0.489516606
type system,0.486780904
data structur,0.480157976
unsign integ type,0.480128925
object class,0.480005307
final block,0.479888737
enclos class,0.479600008
file,0.478910076
data type,0.477672445
program methodolog,0.476433716
class instanc,0.475172927
hash tabl,0.474168421
issu,0.473393191
free softwar,0.471580467
class defin,0.470389575
layout manag,0.470240487
compil,0.469597304
java sourc file,0.468113666
interfac,0.467457388
extend keyword,0.467226991
mobil phone,0.465515825
extern link,0.462695231
method declar,0.462073135
java commun,0.461492777
refer variabl,0.460616179
gener document,0.459993282
script languag,0.457573285
compil code,0.457212611
collect class,0.456123551
larg number,0.454159735
strictfp modifi,0.453836907
text editor,0.452702112
earli version,0.451644587
languag,0.451227506
multipl inherit,0.451030605
upper bound,0.450948808
main method,0.450659758
java vm,0.448253892
implement class,0.447352242
access,0.445202045
class implement,0.444608731
public class,0.444146558
keyword static,0.442211838
user interfac compon,0.441899015
develop,0.441223363
support,0.441220896
type erasur,0.44103982
privat member,0.440224084
underli platform,0.439208415
remov,0.439141251
multipl interfac,0.438862224
object model,0.438623581
store object,0.437740663
creat,0.437567213
object refer,0.437406807
java comparison,0.43704063
gener,0.435488505
world wide web,0.434015592
type inform,0.433263125
project,0.433177781
gener class,0.433077022
method call,0.43227848
abstract type,0.430394091
low level,0.4302314
java technolog,0.429479169
call,0.42856142
refer,0.427716799
includ,0.427660037
local variabl,0.426548641
larg base,0.42626722
articl,0.42559766
special type,0.425306236
singl thread,0.423942295
librari,0.423807453
java ee,0.423770329
float point arithmet,0.422171813
altern implement,0.42196198
applic,0.421675951
sign extend,0.42024879
platform,0.419401204
run,0.416720212
list,0.415055218
cpp comparison,0.413710107
oper overload,0.413327524
make,0.412659232
type check,0.41188757
runtim environ,0.411586639
class class,0.410871973
ensur type safeti,0.410491647
final method,0.410247856
part,0.409505305
establish,0.409065361
switch statement,0.408601551
object graph,0.407679684
object represent,0.407648152
languag comparison,0.407361734
softwar develop,0.406296854
sun,0.40373803
specif class,0.402803776
extens set,0.40208915
paramet,0.400687269
machin instruct,0.399712563
static initi,0.398955562
outer class,0.39859716
interfac java,0.398484751
long integ,0.398347806
file system,0.397886423
fulli qualifi,0.397485372
class loader,0.397141611
life cycl,0.397113345
specif instanc,0.397051524
machin code,0.39617501
static,0.395958911
int type,0.393900408
written,0.392802017
java develop,0.39211402
improv,0.392055013
method paramet,0.391594926
class member,0.391474585
implement interfac,0.390899786
refer type,0.390426482
xml file,0.39016902
compil error,0.389098088
gener method,0.38886793
java releas,0.38839658
defin,0.387575035
file class,0.386602677
object type,0.386386698
client code,0.385107283
oper,0.385106146
user,0.385061201
parent class,0.38501042
catch block,0.384502085
version,0.383882522
control access,0.382748473
defin constant,0.380521136
instanc variabl,0.379835363
releas,0.378234189
requir,0.377640221
bitwis oper,0.377430342
wide varieti,0.377259137
insuffici context,0.376423872
import aspect,0.376058791
java lack,0.375593608
start,0.375345608
set,0.375160244
integ liter,0.37409637
gener concept,0.371791528
return statement,0.371680128
class type,0.371060851
data item,0.37076741
annot type,0.37060044
extend class,0.369822439
data,0.368997489
manner similar,0.368537989
notabl,0.368491978
gui compon,0.368058292
addit,0.3680459
order,0.367968333
end user,0.36784675
method return,0.367739645
work,0.3673003
time,0.365800153
underli oper system,0.364076753
declar,0.363428224
member,0.361924749
execut,0.361780013
element,0.359725024
java method,0.359651692
type argument,0.359290588
java compil,0.358493199
iter interfac,0.357721934
perform,0.357415119
object pascal,0.35719074
runtim,0.357187471
number class,0.356806711
interfac declar,0.356524891
backward compat,0.356480719
store,0.356048304
written explicitli,0.355701075
full control,0.354403389
number,0.353379259
api,0.353186739
method signatur,0.353093419
variabl declar,0.352658222
instanc,0.3520712
oracl,0.351989554
unsign byte,0.351723965
default method,0.351674244
write program,0.351653179
java instal,0.351148011
jdk,0.351143897
specif,0.351099638
field,0.350548975
case,0.349673659
page,0.347653953
event,0.34671729
function,0.346137621
default,0.346026717
comput,0.345821507
swing,0.345699556
variabl,0.345004307
featur,0.343563882
call method,0.343354918
unknown type,0.343103715
properti file,0.341466144
automat convert,0.341075
lower bound,0.340620609
restrict access,0.33943144
ad,0.339158353
introduc,0.337918141
swing compon,0.337160661
effici implement,0.336911523
synchron block,0.335989431
java packag,0.335646661
string,0.335642635
block,0.334697155
program execut,0.334375775
standard,0.333306372
compon,0.333183824
serializ interfac,0.332517183
exist,0.332363264
map,0.332214354
memori,0.331174462
declar variabl,0.33086339
java java,0.330791458
result,0.330146594
java includ,0.329931029
net framework,0.328774673
framework,0.327589942
extend,0.327205361
form,0.326944248
read write,0.326606334
updat,0.325095256
discuss,0.324839405
pass,0.324696938
updat version,0.324518361
collect,0.324110747
sourc,0.323598318
top level,0.32330838
keyword,0.322967886
similar,0.322177571
made,0.321900268
return,0.321516375
base,0.321203767
array,0.320654636
class declar,0.32029543
