phrase,score
templat messag learn,2.092487973
talk page learn,2.017842434
find link tool,1.994945416
sourc remain unclear,1.61956593
ad citat,1.497411596
templat messag,1.488107373
media onlin advertis,1.421061433
addit citat,1.394646847
home advertis point,1.32832919
remov april learn,1.319821755
refer relat read,1.296482007
lack inlin citat,1.225520904
remov august learn,1.206460782
articl includ list,1.171474225
multipl issu,1.163930747
remov june learn,1.079940003
introduc link,1.072361061
sale process,1.05646691
consum guarante act,1.037578273
sale team,0.983686926
sale forc,0.96001734
exist custom,0.950438943
articl link,0.947210897
remov septemb learn,0.924520936
lead gener,0.915893957
unit state,0.908836341
relat articl,0.888271123
supplier convinc custom,0.884993233
success personnelcommon techniqu,0.864648561
sale manag,0.86009636
potenti custom,0.858788657
unit state court,0.858584741
repres worldwid view,0.844140539
wikipedia layout guidelin,0.844140539
descript neutral point,0.844140539
cross sell,0.802752838
field sale manag,0.791632208
sale activ,0.791046889
custom relationship manag,0.787602066
remov octob learn,0.779137568
sale lead,0.777907317
practic larg busi,0.7629252
measur market perform,0.738970108
talk page,0.736792517
consum experi,0.730029158
sell techniqu,0.72580619
remov juli learn,0.722613687
social media,0.720180057
copyright holder,0.715305739
extern link,0.715305739
permit reus,0.715305739
sale person,0.714748593
remov march learn,0.706461977
cold call,0.697142024
busi model,0.696893449
sale,0.694265772
market metric,0.689329743
ad link,0.683780089
addit product,0.67945051
sale function,0.658650945
onlin lead gener,0.627167264
prospect custom,0.626154848
total sale,0.611983649
potenti client,0.603205736
supplier compani,0.603119022
lead manag,0.599435409
increas number,0.594034142
custom,0.589925324
sale techniqu,0.588233657
real estat,0.58696135
softwar applic,0.584758853
purchas price,0.583554497
remov,0.581647251
product,0.581017806
busi,0.578277679
qualifi prospect,0.575097423
wide varieti,0.569898774
market,0.569603346
potenti buyer,0.567126284
mobil devic,0.564278947
close sale,0.562777866
increas revenu,0.555437884
total amount,0.551583057
expens item,0.551066286
sale personnel,0.54580899
small busi,0.545743712
geograph area,0.545555706
origin research,0.545164306
short term,0.5442057
sale execut,0.541991627
sale train,0.540395093
offer incent,0.539401091
compani,0.536610642
specif product,0.536377816
buy power,0.533920963
sell product,0.533777485
unit kingdom,0.532043386
market channel,0.531322335
buy process,0.529935912
custom group,0.526253744
templat messageupsel,0.518789136
sell,0.517574647
sell process,0.517535077
process,0.515459287
sale pitch,0.513690631
custom satisfact,0.513276724
relev term,0.509153591
long term,0.506956455
learn,0.505747015
claim made,0.503377204
servic,0.501910342
articl,0.499952628
sale depart,0.495539135
sale context,0.493768356
servic render,0.489226609
purchas,0.488784032
market campaign,0.481964333
futur sale,0.479572308
prospect buyer,0.478200991
issu,0.474152719
improv,0.472777666
market strategi,0.472669802
gener lead,0.47141957
channel partner,0.469663334
trial close,0.46554106
requir cleanup,0.46098486
includ,0.459902113
make sale,0.459040174
buy,0.458068562
good,0.457998145
account,0.457179558
manag,0.455777073
prior contact,0.45421169
sale perform,0.45377621
effect,0.452906104
time consum,0.451536203
increas,0.451076102
gener sale,0.450918975
gener,0.448293659
gener manag,0.447517822
cost,0.447439774
sale skill,0.445523558
web page,0.445243038
behaviour stage,0.444695938
compani improv,0.443570924
larg compani,0.443510202
sale target,0.442890262
buy product,0.44284413
time,0.440728711
key compon,0.435923895
inform,0.43247299
sale prospect,0.430788804
creat,0.4299255
make decis,0.429377568
sale repres,0.426880207
sale oper,0.42578293
challeng,0.424132695
person,0.423782438
suppli chain,0.423541255
price,0.422939376
make,0.421755255
term,0.421394406
made,0.419430095
