phrase,score
cpp standard librari,2.23009071
cpp program languag,2.187044885
talk page learn,1.877432763
sourc remain unclear,1.626100982
templat messag learn,1.521729587
templat messag,1.315478132
boost cpp librari,1.2968624
articl includ list,1.268176889
cpp standard,1.2437208
ad citat,1.238883088
standard templat librari,1.230053599
program languag,1.227852132
find link tool,1.227569692
object orient program,1.224912647
cpp languag,1.211876313
standard librari,1.196669248
iso iec standard,1.178223642
addit citat,1.173087932
member function,1.143844038
header file,1.133718268
remov decemb learn,1.132246701
class templat,1.119627363
sourc code,1.100709957
cpp standard committe,1.100092538
user defin type,1.09982202
special member function,1.075849086
deriv class,1.052759265
compil time,1.047087341
program languag cpp,1.039781874
random access iter,1.032664094
templat paramet,1.024116412
function call,1.019619958
lack inlin citat,1.009624339
borland delphi comparison,0.975520728
static data member,0.968507188
remov januari learn,0.942811515
base class,0.942289942
virtual function,0.927041277
sourc file,0.923620028
languag featur,0.919109558
standard librari algorithm,0.897034644
cpp languag standard,0.880648882
data type,0.879802588
insuffici inlin citat,0.87139059
depend type comparison,0.863745004
world program languag,0.862162002
type system comparison,0.844620633
copi assign oper,0.842527725
iso cpp standard,0.838186764
refer relat read,0.837657061
object orient languag,0.836103769
bjarn stroustrup,0.833793821
data structur,0.819745595
cpp,0.813315112
cpp program,0.810515299
return type,0.806374787
copi constructor,0.803704477
gener program,0.803550923
multipl issu,0.803204151
cpp compil,0.803151866
remov august learn,0.802779075
type char,0.798804664
static variabl,0.789814833
run time,0.782768871
side effect,0.782262342
function declar,0.780597315
cpp algol comparison,0.772759606
newli alloc memori,0.771242657
std namespac,0.765500583
local variabl,0.765488524
resourc acquisit,0.757216801
class type,0.756479625
templat argument,0.755069339
function pointer,0.746852508
store arbitrari element,0.743530093
alloc memori,0.739519378
cpp librari,0.739389624
cpp programm,0.738740048
cpp code,0.73132591
algol algol comparison,0.72974541
cpp class,0.727868709
requir cleanup,0.721368365
languag standard,0.711136556
core languag,0.710989414
memori alloc,0.709797268
refer count,0.708373465
librari,0.704551451
pure virtual function,0.6990854
class,0.698927496
string liter,0.696709207
type safe,0.696504069
const refer,0.694743165
comput scienc,0.689511292
function,0.68889696
translat unit,0.683012588
assign oper,0.681290764
type,0.668196502
static member function,0.667766975
member variabl,0.666215704
alexand stepanov,0.66578289
multipl inherit,0.662177494
andrew koenig,0.660471189
variabl declar,0.660267577
cpp cpp,0.659418316
return statement,0.65725937
introduc link,0.656746622
base class type,0.655005171
abstract class,0.650837954
specif type,0.646294751
comput program,0.645418147
virtual base class,0.641222523
cpp implement,0.640967853
templat,0.639670726
null termin string,0.639494357
class declar,0.639232294
automat variabl,0.636046521
class member,0.633893971
cpp templat,0.632305598
forward declar,0.631022233
oper overload,0.630903724
standard,0.630208923
compil,0.629692956
boost librari,0.629232299
ill form,0.626798893
function object,0.625332791
sizeof oper,0.625022755
standard cpp,0.623851683
decemb learn,0.622083396
pointer type,0.618139357
gener algorithm,0.617538848
articl link,0.614015868
program,0.613157634
object,0.608261551
singl statement,0.606244129
bit shift oper,0.605729587
origin research,0.604135408
sequenc point,0.599685104
implement,0.59876084
integr type,0.598417872
oper,0.597305126
special case,0.595584333
function templat,0.594171132
andrei alexandrescu,0.592126808
random access,0.591838653
herb sutter,0.591697938
languag,0.59068876
default constructor,0.590150862
standard string type,0.589493481
variabl number,0.587919001
namespac std,0.585777763
similar function,0.583295727
float point type,0.582923024
gener,0.580923738
code,0.580727944
input output stream,0.578054419
type system,0.576669666
hand side,0.575001905
compil gener,0.574199731
call,0.574006996
data member,0.573564012
call site,0.572075225
declar,0.57104497
implement defin,0.566579769
style string,0.563178764
intern organ,0.562675252
visual basic,0.561405825
long doubl,0.560961944
implicit convers,0.559511752
relat articl,0.559474646
preprocessor macro,0.559154852
templat instanti,0.559014173
cpp featur,0.558433108
class hierarchi,0.555835752
defin,0.554639609
function prototyp,0.55459195
overload oper,0.55082758
gener type,0.550088212
standard version,0.547501901
extern link,0.545758389
null pointer,0.54422806
compil time polymorph,0.541490276
refer,0.541465249
function overload,0.541098149
type int,0.539619852
initi raii,0.537837275
pointer,0.535782886
remov,0.535738869
deep copi,0.53535094
member,0.533768149
output oper,0.533749647
public data member,0.533675216
global scope,0.531380519
perform search,0.530758765
constant express,0.530542369
main purpos,0.529519561
memori leak,0.528479052
stream buffer,0.528054801
compil error,0.527824938
variabl,0.52760316
refer type,0.524541715
variabl length array,0.524365835
argument,0.521098907
memori locat,0.520163136
requir,0.519869738
object declar,0.516142799
oper return,0.515040438
explicitli defin,0.51412222
specif,0.514091615
includ,0.513413598
class instanc,0.512605938
embed system,0.508108757
delet oper,0.507348949
data,0.504331715
function return,0.502055419
return,0.50170343
function argument,0.500723625
function foo,0.49967831
comparison oper,0.499600014
error occur,0.498655818
move constructor,0.497089273
templat metaprogram,0.496644821
binari function,0.495944365
virtual method,0.495925396
low level,0.495287411
time,0.495081934
return refer,0.494789954
technic specif,0.492293918
templat type,0.491668186
declar variabl,0.491146926
custom class,0.490511561
hash tabl,0.490403226
dynam array,0.49024824
articl,0.48965869
virtual keyword,0.489358677
object orient,0.489329115
const char,0.489277339
languag comparison,0.488350597
cpp comparison,0.487809591
copi,0.486694681
creat variabl,0.484955979
static polymorph,0.484886
templat special,0.484360026
undefin behavior,0.482640221
perform,0.482064577
swap method,0.481945866
overload,0.48093842
return pointer,0.479991306
static alloc,0.478764473
